text,label
"First this a vacation rental at . my kiddo of and confidence independence sense . me the to go let ability Gave Gave . . I was with the water in , but I didn’t to be in constant contact have him Way more us of both for fun . tried",positive
"the Be To "" Mommy "" White Lace Sash . - line On it that it was 8th April on the residence mailbox in the 2 Grandma by Pins To Be accompanied delivered Perhaps its a or mishap delay stated I have not yet and "" Be To "" Dad Pin Pack . I the 2 but not the other order Grandma Be To Pins received . Please this matter into ASAP . check . received",negative
", Thornhill Mr. has the ball the park out of . I truly how Thornhill Mr. current issues his books in , his readers an different perspectives from the subject matter view to opportunity giving uses appreciate . usual As , the characters of usual cast and interest humor the tale to , even with such a controversial topic dealing when bring . Once again them coming , Thornhill Mr. , Keep you an appreciative audience have . hit",positive
"Don't car in , it 's very width work",negative
Much pictured than . Do not for this small pierce care . Will be returning . smaller,negative
not well me for work Did,negative
"the bright colors . Sequins are well but not the seams ! attached Unfortunately the seam than less two weeks for it having after Item not vendor from return for , unfortunately eligible split . . Love",negative
"4K Roku receiver to this cable via . Many drop - , blank screens , digital noise outs . with another cheaper looking I around lying had cable and all issues away went Replaced . I a dud got Seems . Connected",negative
not well all at my psp charge Did,negative
"my granddaughter for Bought , she was very and sizing is a true size . happy",positive
. just I wanted what I was it a strap had glad . Perfect,positive
This me weird . I my body is of guess but the bottoms were too but the top was just an inch my long torso on I like 'd than shorter beautiful big fit,positive
"Have been it now two weeks for . Initially to it or so 5 nights for as i to a new place and a my furniture between gap arrives had moved use planned . But now , two weeks later it is still and my toddler baby is it her day bed as using inflated . So it really a rough treatment had . So far it up holds ! using",positive
"great food with no after taste , red velvet cakes for perfect coloring",positive
Honestly these are . more a zen experience compared to the sprain support Feels . your money or Badger brand foot balm in invest Save . weird,negative
It 's and I it love I just that the markers to didn't the caps with off so that they were and don't work dry come wish great,positive
I would not this item . It a considerable time of amount connect to took . The quality is not good . recommend,negative
advertised as . No complaints Works,positive
Not this item necessary is if ... I don't any changes see . I the you it charge can fact like . sure,negative
"Hydraulics than less 90 days in , chair cosmetic damage with arrived leaked",negative
6 cuts after up Shredded .,negative
I this to a good that a the earrings to similar necklace had friend . She just them loves . gifted,positive
"Very attractive white semi sheer , the light through but privacy offers comes . They were truly I wanted what . Great the price for value . curtains",positive
Very not satisfied small,negative
Case is and nearly the phone of fell . Does not well protect loose,negative
I this fan high on almost 3 hours for . Battery life is advertised than . better It the I have 7.5 inch plugin fan than more air moves . it so far Loving . ran,positive
flawlessly one is so and totally the you for paying are price worth I more this cord with secure feel sturdy ! They also quickly charge . I these all around the house have . . Functions,positive
the price for nice clarity Good,positive
The case cannot the watch as it is to supposed . Don't buy . secure,negative
Fast this vendor with . I Sheaffer pens and this one did not disappoint love . turnaround,positive
"I it to and not like syrup unique taste , it should but less sweet ok taste figured , but this fake sugar substitute with just plain seltzer like tastes . All three types were ... hard earned money of Waste crap . expected",negative
use to and good quality of appears . Simple,positive
This was I read have any as as good a . very much the Baldacci David style in Written . Xxx story,positive
"This is a great from and / or yeast - raised scratch especially made and waffle pancake batters to , . the and the moisture the batter of level taste balance to liquid buttermilk than with Easier . addition",positive
a hippie for fest costume of Part .,positive
I this a gift as and was today that this never and Also VCR tapes to destroyed while she was to it work make trying worked told . gave,negative
what it is to do supposed does .,positive
Have n't yet but company is super with work to easy used,positive
it for a very short while and phone froze ! It s ! DEAD Seller is not very helpful ... !!! JUNK Used,negative
my daughter for A gift .,positive
These are but I 've them of 2 and they aren't very durable purchased . I 'll buying though keep . great,positive
"We really this trimmer of the quality , and it an excellent around the fence , shrubs , and our many trees line trimming job does . My only issue that it is a bit on the heavy ; which by the battery and the last to greenworks it built that fact weight caused is side is . Very an attachment change to easy . like",positive
"It noticeably the Apple brand cable than heavier . I these ! time on . The packing is . It 's so much money worth fine Arrive . Family all it like how low are profile Super value products love . A that and enough up my Apple devices on it using to hold to sturdy enough long was . Will next time buy cable . The braided cable sturdy and so far , it has well worked looks . The length is very . The speed is very fast . good feels",positive
very 30 $ for but i would these flip flops could me wear of least at a few years worth give hope . couldn't the toe strap my trip of the middle in broke believe . how disappointing comfortable,negative
"great so far . Great and texture color . The only minor ( ) minor issue is : the that you to the wire up and it secure wrap allows velcro strap doesn’t the plugs over , so of instead conveniently the wire to all times at adhering , even not utilized being when , it is unattached fit . this Works",positive
"Great ! up through , heavy duty , good size , and to the point polite sprinklers , and actually in well so they are not obnoxiously the yard in obvious blend Stands quality",positive
the description not say did What that the lens is glass instead of and a meat thermometer as I this use since I am it melt will worried plastic -- a glass lens would it more durable make . in a cool not around a but or barbecue stove environment used if probably OK is,positive
Not for out snoring . They will else anything for work . drowning,negative
it daily ! Great and use to easy machine Use,positive
This product much too a laptop on use to large . My computer is 15.6 and it the mouse area over towers ” . comes,negative
This is very and cheaply made . Really the price for heavier fabric expected . thin,negative
the bag ... pockets are much bigger ! My 8 month old GSD about 50 lbs right now and he bag is a bit too her for big weighs . My only ( and 4 stars for ) reason complaint that the straps do not tight they look than If we a walk for or run go stay is . the straps up loosening and then the bag her off sliding starts end . I am she a bit more out fills when we a with to the straps so tight have having problem have won’t hoping . Love,positive
"Does n't , doesn't off / on easily turn , horrible connect",negative
Especially for this price Amazing quality ! !,positive
I the iPhone x case and I this got . I Amazon on often order and this is the first this like anything ever happened has time ordered,negative
It or their chin under it keep to something Velcro . off pretty quickly Falls . needs,negative
The makeup is so and does not on well go . watery,negative
The battery life is very always to down and recharge take need . Also they frequently cabinet from fall . short,positive
I really thin hair and these work . This is my favorite clip of style . have,positive
It 's just like the picture Looks perfect,positive
My kids have so much fun these with ! Only problem that they easy and the connections are a little my little ones together get for to hard break . But the price for I ’m to them they break when replace . My kids have been to different and swirls shapes make able and their imaginations using enjoy willing is had,positive
"Meh , it ’s . Sometimes it great other times works , even when there bubble liquid of plenty is , it very few bubbles blows . the price For I a little more expected . ok",negative
"oh my Oh my , this the second pair because I to the first pair the button hole closed was as exchange had , no them button to way leaving . The second send pair just the same My neighbor so she it but what a . is a seamstress Not a happy customer pain and she 's not long it up hold will sure cut arrived . . us",negative
This product was a money of . Did not advertised as work . Will and straw with covered hand sowed seeds they grow did say . There hydro seeding nothing this about is . waist,negative
This is exactly we for working were and has up the a middle - schooler for daily lunches carrying of strains under held ! what,positive
It ’s but the the top of cut very and unflattering the armpit around awkward looks alright,negative
"I too a bead of fine with , then I this to switched , great old finishes removing for worked . started",positive
"I these my grandson for . They are extremely they to be in the ad show than smaller . It should "" detail show to "" or that effect to something enlarged say . My grandson was very them with disappointed . ordered",negative
They are swimsuit for and really don’t much do heavy,negative
The that arrived bars were and discolored . They were inedible . Usually these granola bars a shiny chocolate and course of sea salt pieces coating have . I the seller and never a response received contacted . old,negative
"The holder 's pad and / or pad rattles when and when in use empty . The holder 's bottom support clip does not my 5 Galaxy S OEM cord accommodate . these nuisances Despite , I it often . Would not it again buy use . clips",negative
a not a standard case portfolio Received !,negative
"This tent was but I was overall I disappointed . it up Setting was fairly at first easy but I myself to the canopy portion securing finish struggling found . The tent over a about 15 - 10 mph breeze in and the metal supports of one , I even the tent of each corner down staked though snapped . blew . I I weights bought ’d wish Next time will for a more durable tent more pay . affordable",negative
This is absolutely the best we bought 've ! the dimmer - so we can it a night light as and then it up fragrance for the day during turn use Love . The only draw back it an unusual light bulb takes that not easily It out . swapped is apart it the bulb dies when take to You tools . need 'll is . warmer,positive
This itself of a pool in . The packaging was the product was all over the the box of inside terrible . I 'll never them from again buy . arrived,negative
Great fast service deal,positive
"Did n't anything , you never your ears clean unless . money of Waste ! do",negative
The only I use will ! Nothing them off of falls .... hangers,positive
The itself camera and sleek nice however I am not how it mount to sure . There no it for directions are . The for the actual camera instructions are not all at It almost a kindergartner the instructions wrote like looks clear . . I 'm a hard time this thing started getting having . looks,negative
