मंगलवार से क्या कोवर्कर ग्रुप से मुझे कोई मैसेज आया है	[IN:GET_MESSAGE [SL:GROUP कोवर्कर SL:GROUP] [SL:RECIPIENT मुझे SL:RECIPIENT] [SL:DATE_TIME मंगलवार से SL:DATE_TIME] IN:GET_MESSAGE]
कृपया क्या तुम टेड और जेम्स को मेसेज भेज सकोगे	[IN:SEND_MESSAGE [SL:RECIPIENT टेड SL:RECIPIENT] [SL:RECIPIENT जेम्स SL:RECIPIENT] IN:SEND_MESSAGE]
प्लीज़ मेरे भाई - बहनों को भेजो	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED मेरे SL:CONTACT_RELATED]     [SL:TYPE_RELATION भाई - बहनों SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
स्टीव और बिल से हुई मेरे संदेश ले आओ	[IN:GET_MESSAGE [SL:RECIPIENT स्टीव SL:RECIPIENT] [SL:RECIPIENT बिल SL:RECIPIENT] IN:GET_MESSAGE]
जूलिया वॉल्टर्स और स्पार्क्स से मेरे वीडियो मैसेज ले लेना	[IN:GET_MESSAGE [SL:TYPE_CONTENT वीडियो SL:TYPE_CONTENT] [SL:RECIPIENT जूलिया वॉल्टर्स SL:RECIPIENT] [SL:RECIPIENT स्पार्क्स SL:RECIPIENT] IN:GET_MESSAGE]
क्या पिछले हफ्ते अपने ऑफिस ग्रुप से मुझे कोई मैसेज आया	[IN:GET_MESSAGE [SL:GROUP ऑफिस SL:GROUP] [SL:RECIPIENT मुझे SL:RECIPIENT] [SL:DATE_TIME पिछले हफ्ते SL:DATE_TIME] IN:GET_MESSAGE]
क्या आप xyz थ्रेड में उस वीडियो को भेज सकते हैं	[IN:SEND_MESSAGE [SL:TYPE_CONTENT वीडियो SL:TYPE_CONTENT] [SL:GROUP xyz SL:GROUP] IN:SEND_MESSAGE]
मेरी भतीजी के टेक्स्ट दिखाएँ	[IN:GET_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED मेरी SL:CONTACT_RELATED]     [SL:TYPE_RELATION भतीजी SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:GET_MESSAGE]
मेरी माँ केसन के मेसेज दिखाओ	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED मेरी SL:CONTACT_RELATED]     [SL:TYPE_RELATION माँ SL:TYPE_RELATION]     [SL:CONTACT केसन SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
एरिक को WhatsApp पर वो मैसेज भेज दो	[IN:SEND_MESSAGE [SL:RECIPIENT एरिक SL:RECIPIENT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
