text	label
洗完不干，非常舒服，就是手洗完了有点脱皮。不知道是不是因为是碱性的原因	positive
款式好看，抗震性好，在运动场和柏油路上都跑过，鞋底稍硬！	positive
为旅游方便买的，有很刺鼻的味道，跟大瓶装确实不一样。失望	negative
这个是猪皮的,容易变形,~~~~(>_<)~~~~	negative
垃圾亚马逊，发票到现在都收不到，中间还少发卡，垃圾。	negative
送货太慢了，到了学校，货还没到家，呜呜呜	negative
少了30页内容，220～253页，重复两遍。唉	negative
花16000这么贵的马桶，用了不到2个月，打客服打了好几天，都没人接。这样的亚马逊售后，无语	negative
机子很不错，之前有一台fenix3蓝宝石屏，不用担心刮花，以为这台也不会差到哪去，谁知没几天屏幕就被我弄了朵小花在上面，所以赶紧贴膜。按上面两位的标准步骤（汉化，装地图，纠偏等）还有小胖熊的支持，机子终于发挥出强大威力。搜星很快，电池用eneloop pro一天完全没问题，买了张32g的金士顿tf卡用来装地图。机子本身没有温度感应器，需花两百多另购，大部分我所需要的功能都与fenix3重合了，所以出掉了手表，以后就专门用这个了，因为这个能装地图，手表只能告诉你回去的路，而这个可以指引你想走的路，这也是买这台机子最重要的原因。	positive
不错，是这个焦段的黄金镜头。适应性很好。	positive
内容不错，信息量较大，有些像教科书形式，可能小童鞋们认为不够生动。唯一可惜的是没有配套的MP3，旧版好像是有磁带的。	positive
不值，机子上水塔是塑料的 ，根本不值这个价钱。需要的买家谨慎入手。	negative
同事让我帮忙买的，她拿给男友的，同事自己反正很满意哈，哈哈	positive
我头发很燥，我一直在找洗完头发不要用护发素的洗发水，这款就很适合我，洗完头发很顺，可以省去护发素的步骤。	positive
等了很久终于来了，虽然知道种玉米很辛苦，快递员也很辛苦，大热天的，但玉米有的很老，有的嫩的稀稀拉拉只有部分粒，怎么说呐，还是很辛苦的！为辛苦赞一个！	negative
感觉真的不适合我，太薄了，而且不好扣紧，显然是耐克这个牌子蒙蔽了我的眼。	negative
有点大了，按照专卖店的码数买的，比专卖店的码大一点	positive
最初说是5日送达，后改为11日，今天已是15日，还未送到，也不知道上哪溜达了。	negative
送过来 衣服有很多线头,还有极不合身,然后要求商家退货,还说不承担回运费,要自己出,卖的衣服这么差,纯粹是骗人给运费的,大家千万不要买这家商店的衣服.!!!!!!!!!!!!!!!!!切记	negative
很棒，外观的龙看起来超喜感，纸张洁白厚实，还有很多漂亮插图。比起其他网站价格便宜多了。唯一缺点是最后大地图位置不好。	positive
各方面的看法肯定是不一样的，注重的角度也不一样，多看看肯定有好处。	positive
去年11月买的，前一天晚上用都还是好的，今早就坏了，不通电完全没反应，以前买的杂牌煮蛋器都用了近两年，这个一年都没用到	negative
还好，戴着不是很舒服；不知道是不是正品？	positive
纸张和印刷不错，但内容贫乏，特别是对各学院的介绍过于简单，也没有必要用中英双语。如果突出画册属性，对每张图片应该有个介绍，有故事就更好了，而不是把一堆照片摆在那里，搞的读者一头雾水，不值所云，这些照片在网上都搜得到。此外作者个人的照片太多了，虽然作者比高老师那张脸好多了，但读者并不感兴趣。	negative
物流很快，隔了一天就到了，会向其他朋友推荐在这里买书	positive
质量很好的班，很适合一日游，对得起这个价格	negative
光盘后面听不了。给一星是因为没有更低了。真差	negative
是一本少见的从心理层面分析剧本创作的书，值得一读。但不够详细。	positive
虽是亚马逊订单，但是发票却不由亚马逊开出，最开始也没有讲清楚，因为报销问题一定要纸质发票于是只能快递发票，快递费用需要自己倒贴。总觉得不合理。	negative
两次图片丢失.，害死人了，不知道向哪里投诉！	negative
不过在插进电脑接口之后，没一会儿U盘就发烫了。	positive
冲着花王的品牌买的，但是喷出的泡沫没有预期的多，清洁效果还可以。	positive
就是发票到现在还没有到。 不知道哪个环节出了问题。 有点郁闷。	positive
包装很到位，还没喝，扫过码了…不错，满意	positive
手表用到不到半年表盘掉落 寄过去维修说要钱 手表才多少钱 售后还是京东好 以后再也不会在亚马逊买电子产品	negative
内容太细致了，根本没时间看完啊，东西不错	positive
朋友推荐用来练字的，就买了，但是太多了，又不能只买5支，既然要收运费就应该可以选择数量才对，所以感觉不太好。 另一方面，买完立马降价什么意思？？？58买完就降到40了？？？ 当然最重要的还是写起来不怎么流畅。。。	negative
看了内容简介才买的，应该不错，希望看了有所收获	positive
用了一两周了，脸上的大包包有改善。坚持用。	positive
透气性不太好，闷脚，走路时脚后跟处咯吱咯吱响！挺烦人的！	negative
这本书整体性不强，而是设计师的一些小故事和人生感受。比较有趣。	positive
用后没电了，充电后不知是没冲上还是什么原因，就再用不了了。想找厂家咨询，也没有电话。。。	negative
冰块还没做过，但用来烤东西不方便，很难完整地弄出来	negative
很重，份量很足，打开包装，龙头质量很好，还没装，期待装上后的效果	positive
书中有许多话语，能产生共鸣，能从书中有所收获就是好书，这本书做到了。虽然网上对此书有一些争议，但是我依然推荐这本书。	positive
很软，但是亚马逊的内裤，都很小，都不知道怎么回事	positive
送货准时，书的质量也很不错，小朋友非常喜欢。	positive
长时间未收到货，店家反馈不积极，每次都是投诉到亚马逊，才给回复	negative
这一部有点赶工的感觉，作者前面不断挖坑，但最后有些没填。。。 从第一部开始，作者看问题确实比较犀利，阴谋论虽然显得比较阴暗，但顺着作者的思路，确实解释了很多以前中学读历史留下的疑惑，比如慈禧的反复无常，比如戊戌变法的真相，比如大清集合这么多部队还是打不过洋人的原因。 这本书属于通俗读物，强调史料的真实准确性的，凡事都要讲出处的就不要读这本书了；建议读的时候也要辩证地吸收作者的观点。	positive
一本书，胜过十年政治课。可惜关键内容给删了。	positive
画风很好，很鲜艳明亮，就是翻译得感觉很拗口，还是应该买原版的	positive
用了还不到两月，包包的手提就坏了，真让人恶心。	negative
讲稿生动，装帧也很适合学习，在中医学习路上，觉得这本书会有很大的启发	positive
