video Angelika Kratzer me messaged ? Has	[IN:GET_MESSAGE [SL:TYPE_CONTENT video SL:TYPE_CONTENT] [SL:CONTACT Angelika Kratzer SL:CONTACT] [SL:RECIPIENT me SL:RECIPIENT] IN:GET_MESSAGE]
this week for forecast Maricopa County weather	[IN:GET_WEATHER [SL:DATE_TIME this week for SL:DATE_TIME] [SL:LOCATION Maricopa County SL:LOCATION] IN:GET_WEATHER]
my next alarm When start will	[IN:GET_ALARM [SL:ORDINAL next SL:ORDINAL] IN:GET_ALARM]
Matthew and Helen that are you free text	[IN:SEND_MESSAGE [SL:RECIPIENT Matthew SL:RECIPIENT] [SL:RECIPIENT Helen SL:RECIPIENT] [SL:CONTENT_EXACT are you free SL:CONTENT_EXACT] IN:SEND_MESSAGE]
what ingredients is left do have	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE ingredients SL:RECIPES_ATTRIBUTE] IN:GET_INFO_RECIPES]
I no longer available am	[IN:SET_UNAVAILABLE IN:SET_UNAVAILABLE]
my my appointment dentist about reminder Cancel	[IN:DELETE_REMINDER [SL:PERSON_REMINDED my SL:PERSON_REMINDED] [SL:TODO my appointment dentist SL:TODO] IN:DELETE_REMINDER]
I a update news like . would	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE news SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
please newreport Health Read	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE newreport SL:NEWS_TYPE] [SL:NEWS_CATEGORY Health SL:NEWS_CATEGORY] IN:GET_STORIES_NEWS]
alarm Set	[IN:CREATE_ALARM IN:CREATE_ALARM]
an alarm off go morning tomorrow make	[IN:CREATE_ALARM [SL:DATE_TIME morning tomorrow SL:DATE_TIME] IN:CREATE_ALARM]
I Friday on What reminders have ? do	[IN:GET_REMINDER [SL:PERSON_REMINDED I SL:PERSON_REMINDED] [SL:DATE_TIME Friday on SL:DATE_TIME] IN:GET_REMINDER]
7 pm at 8th September by me finish the report to Remind .	[IN:CREATE_REMINDER [SL:DATE_TIME 7 pm at 8th September by SL:DATE_TIME] [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO finish the report SL:TODO] IN:CREATE_REMINDER]
I easy bread banana for a recipe need	[IN:GET_RECIPES [SL:RECIPES_ATTRIBUTE easy SL:RECIPES_ATTRIBUTE] [SL:RECIPES_DISH bread banana SL:RECIPES_DISH] IN:GET_RECIPES]
Who does Trump to be allies consider	[IN:QUESTION_NEWS [SL:NEWS_TOPIC Trump to be allies consider SL:NEWS_TOPIC] IN:QUESTION_NEWS]
me Atlas from messages video show	[IN:GET_MESSAGE [SL:SENDER Atlas SL:SENDER] [SL:TYPE_CONTENT video SL:TYPE_CONTENT] IN:GET_MESSAGE]
me tonight Seattle in happening some events Tell	[IN:GET_EVENT [SL:DATE_TIME tonight SL:DATE_TIME] [SL:LOCATION Seattle SL:LOCATION] IN:GET_EVENT]
Adele by music Find	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Adele SL:MUSIC_ARTIST_NAME] [SL:MUSIC_TYPE music SL:MUSIC_TYPE] IN:PLAY_MUSIC]
I to to AC / DC listen please want	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME AC / DC SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
I What time yesterday Mum call ? did	[IN:GET_CALL_TIME [SL:DATE_TIME yesterday SL:DATE_TIME] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Mum SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_CALL_TIME]
regular a alarm 7 pm Monday for start . Lets	[IN:CREATE_ALARM [SL:DATE_TIME 7 pm Monday for SL:DATE_TIME] IN:CREATE_ALARM]
chat Whatsapp video on granddaughter call	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION granddaughter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
me to mom tonight 5 at call . remind	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO [IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION mom SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME tonight 5 at SL:DATE_TIME] IN:CREATE_REMINDER]
me today the rainfall how 's ? Tell	[IN:GET_WEATHER [SL:DATE_TIME today SL:DATE_TIME] [SL:WEATHER_ATTRIBUTE rainfall SL:WEATHER_ATTRIBUTE] IN:GET_WEATHER]
grandson with call End	[IN:END_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION grandson SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:END_CALL]
me Seattle in matches tennis this month Find	[IN:GET_EVENT [SL:LOCATION Seattle SL:LOCATION] [SL:CATEGORY_EVENT matches tennis SL:CATEGORY_EVENT] [SL:DATE_TIME this month SL:DATE_TIME] IN:GET_EVENT]
i a forecast maritime get can	[IN:GET_WEATHER IN:GET_WEATHER]
please me for a playlist party create	[IN:CREATE_PLAYLIST_MUSIC [SL:MUSIC_TYPE playlist SL:MUSIC_TYPE] [SL:MUSIC_PLAYLIST_TITLE party SL:MUSIC_PLAYLIST_TITLE] IN:CREATE_PLAYLIST_MUSIC]
Tuesday night to put out the trash me Remind .	[IN:CREATE_REMINDER [SL:DATE_TIME Tuesday night SL:DATE_TIME] [SL:TODO put out the trash SL:TODO] [SL:PERSON_REMINDED me SL:PERSON_REMINDED] IN:CREATE_REMINDER]
new a alert timer Create	[IN:CREATE_TIMER [SL:METHOD_TIMER timer SL:METHOD_TIMER] IN:CREATE_TIMER]
i you to Amelia for a message video recording start want	[IN:SEND_MESSAGE [SL:RECIPIENT Amelia SL:RECIPIENT] [SL:TYPE_CONTENT video SL:TYPE_CONTENT] IN:SEND_MESSAGE]
